,flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,score,arrival_delay_minutes,arrival_delay_group,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
39500,165,MAX,IAX,BMXXDJ,2022-09-25,vegetarian entrée,-4,Early & Ontime,Business,Atlantic,2,90+,premier 1k,Gen X,B767-400,Mainline,76S,UA,3817,Long,A8,C6,International,member,PANASONIC,spoke departure
39503,122,BCX,EWX,ASXX94,2022-09-25,chicken entrée,-51,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Silent,B767-400,Mainline,76S,UA,3848,Long,D21,C120,International,member,PANASONIC,spoke departure
39505,122,BCX,EWX,OMXXN0,2022-09-25,chicken entrée,-51,Early & Ontime,Economy Plus,Atlantic,2,90+,premier 1k,Gen X,B767-400,Mainline,76S,UA,3848,Long,D21,C120,International,member,PANASONIC,spoke departure
39507,122,BCX,EWX,ILXXSV,2022-09-25,other (specify),-51,Early & Ontime,Business,Atlantic,3,90+,premier gold,Gen X,B767-400,Mainline,76S,UA,3848,Long,D21,C120,International,member,PANASONIC,spoke departure
39509,916,IAX,CDX,BNXXYC,2022-09-25,vegetarian entrée,9,Delayed,Business,Atlantic,1,70+,global services,Gen X,B777-200,Mainline,77U,UA,3861,Long,D21,A8,International,member,PANASONIC,hub departure
39511,961,EWX,FRX,G9XXYN,2022-09-25,beef entrée,-38,Early & Ontime,Business,Atlantic,1,80+,non-elite,Gen X,B777-300,Mainline,77X,UA,3870,Long,C125,A22,International,member,PANASONIC,hub departure
39512,961,EWX,FRX,P0XXW2,2022-09-25,beef entrée,-38,Early & Ontime,United Premium Plus,Atlantic,1,80+,premier 1k,Boomer,B777-300,Mainline,77X,UA,3870,Long,C125,A22,International,member,PANASONIC,hub departure
39515,961,EWX,FRX,DYXXWE,2022-09-25,vegetarian entrée,-38,Early & Ontime,Economy,Atlantic,1,80+,Non-Members,Gen X,B777-300,Mainline,77X,UA,3870,Long,C125,A22,International,non-member,PANASONIC,hub departure
39518,958,GVX,EWX,CNXXG3,2022-09-25,other (specify),-54,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B767-300,Mainline,76L,UA,3878,Long,C57,C128,International,member,PANASONIC,spoke departure
39522,958,GVX,EWX,AMXXNE,2022-09-25,other (specify),-54,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Millennial,B767-300,Mainline,76L,UA,3878,Long,C57,C128,International,non-member,PANASONIC,spoke departure
39524,951,IAX,BRX,DTXX40,2022-09-25,beef entrée,20,Delayed,United Premium Plus,Atlantic,1,90+,Non-Members,Boomer,B777-300,Mainline,77X,UA,3892,Long,C4,B17,International,non-member,PANASONIC,hub departure
39525,952,BRX,IAX,N3XX1J,2022-09-25,other (specify),-52,Early & Ontime,Business,Atlantic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,3892,Long,B05,C2,International,member,PANASONIC,spoke departure
39533,253,HNX,IAX,O3XX2Y,2022-09-25,other (specify),4,Delayed,Economy Plus,Domestic,1,90+,premier gold,Boomer,B777-200,Mainline,77G,UA,3904,Long,G1,E7,Domestic,member,PANASONIC,spoke departure
39534,136,ZRX,EWX,MDXXCY,2022-09-25,chicken entrée,-23,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B767-300,Mainline,76L,UA,3946,Long,E43,B67A,International,non-member,PANASONIC,spoke departure
39540,929,LHX,ORX,E9XX02,2022-09-25,chicken entrée,-32,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Silent,B767-300,Mainline,76L,UA,3953,Long,231,M19,International,non-member,PANASONIC,spoke departure
39541,932,ORX,LHX,DZXXPB,2022-09-25,other (specify),-18,Early & Ontime,Business,Atlantic,1,90+,premier gold,Millennial,B767-300,Mainline,76L,UA,3953,Long,C15,232,International,member,PANASONIC,hub departure
39542,929,LHX,ORX,GBXX1H,2022-09-25,chicken entrée,-32,Early & Ontime,Economy Plus,Atlantic,2,90+,non-elite,Boomer,B767-300,Mainline,76L,UA,3953,Long,231,M19,International,member,PANASONIC,spoke departure
39544,929,LHX,ORX,IHXXM4,2022-09-25,vegetarian entrée,-32,Early & Ontime,United Premium Plus,Atlantic,1,90+,premier platinum,Gen X,B767-300,Mainline,76L,UA,3953,Long,231,M19,International,member,PANASONIC,spoke departure
39547,964,BEX,EWX,MZXXBP,2022-09-25,chicken entrée,-59,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B767-400,Mainline,76S,UA,3986,Long,D17,B54,International,member,PANASONIC,spoke departure
39549,19,MXX,EWX,OJXX96,2022-09-25,seafood entrée,28,Delayed,Business,Atlantic,1,90+,premier 1k,Boomer,B777-200,Mainline,77N,UA,4010,Long,B53,B53,International,member,PANASONIC,spoke departure
39552,19,MXX,EWX,FFXX68,2022-09-25,chicken entrée,28,Delayed,Economy,Atlantic,1,90+,non-elite,Boomer,B777-200,Mainline,77N,UA,4010,Long,B53,B53,International,member,PANASONIC,spoke departure
39554,32,MUX,EWX,HKXXMT,2022-09-25,other (specify),-2,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Gen X,B777-200,Mainline,77U,UA,4052,Long,H18,C126,International,member,PANASONIC,spoke departure
39556,32,MUX,EWX,JLXX51,2022-09-25,chicken entrée,-2,Early & Ontime,Economy,Atlantic,2,90+,Non-Members,Gen X,B777-200,Mainline,77U,UA,4052,Long,H18,C126,International,non-member,PANASONIC,spoke departure
39558,993,IAX,BCX,I6XXSS,2022-09-25,vegetarian entrée,-14,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B767-400,Mainline,76S,UA,4060,Long,C14,HOLD,International,member,PANASONIC,hub departure
39560,993,IAX,BCX,CZXXRN,2022-09-25,chicken entrée,-14,Early & Ontime,Economy Plus,Atlantic,1,90+,premier silver,Boomer,B767-400,Mainline,76S,UA,4060,Long,C14,HOLD,International,member,PANASONIC,hub departure
39561,992,BCX,IAX,MJXXP5,2022-09-25,vegetarian entrée,-29,Early & Ontime,Business,Atlantic,2,90+,non-elite,Boomer,B767-400,Mainline,76S,UA,4060,Long,*D11,C14,International,member,PANASONIC,spoke departure
39564,990,IAX,FRX,AVXXSL,2022-09-25,vegetarian entrée,11,Delayed,Economy Plus,Atlantic,1,0 to 70,premier gold,Boomer,B777-300,Mainline,77X,UA,4082,Long,C2,*V12,International,member,PANASONIC,hub departure
39567,989,FRX,IAX,AQXXTP,2022-09-25,chicken entrée,-13,Early & Ontime,Economy Plus,Atlantic,1,90+,premier platinum,Gen X,B777-300,Mainline,77X,UA,4082,Long,Z22,C4,International,member,PANASONIC,spoke departure
39568,987,CDX,ORX,CZXXZJ,2022-09-25,other (specify),-50,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,4153,Long,A4,M27,International,member,PANASONIC,spoke departure
39570,987,CDX,ORX,CGXX3D,2022-09-25,chicken entrée,-50,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,4153,Long,A4,M27,International,member,PANASONIC,spoke departure
39575,987,CDX,ORX,NPXXZE,2022-09-25,sandwich/burger/wrap,-50,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Millennial,B787-9,Mainline,78P,UA,4153,Long,A4,M27,International,member,PANASONIC,spoke departure
39577,987,CDX,ORX,OBXX1F,2022-09-25,vegetarian entrée,-50,Early & Ontime,Business,Atlantic,1,90+,premier gold,Boomer,B787-9,Mainline,78P,UA,4153,Long,A4,M27,International,member,PANASONIC,spoke departure
39578,54,ZRX,IAX,E8XXFE,2022-09-25,chicken entrée,-38,Early & Ontime,Business,Atlantic,1,90+,global services,Gen X,B767-300,Mainline,76L,UA,4158,Long,E47,C1,International,member,PANASONIC,spoke departure
39581,54,ZRX,IAX,NYXX6R,2022-09-25,vegetarian entrée,-38,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Gen X,B767-300,Mainline,76L,UA,4158,Long,E47,C1,International,member,PANASONIC,spoke departure
39583,973,ORX,BRX,A1XXEN,2022-09-25,other (specify),8,Delayed,United Premium Plus,Atlantic,2,90+,premier silver,Boomer,B787-10,Mainline,78J,UA,4160,Long,C29,B11,International,member,PANASONIC,hub departure
39585,171,EWX,VCX,I3XXGV,2022-09-25,seafood entrée,-28,Early & Ontime,Business,Atlantic,1,90+,premier gold,Millennial,B767-300,Mainline,76A,UA,4169,Long,C136,HOLD,International,member,PANASONIC,hub departure
39587,349,OGX,ORX,DSXXTZ,2022-09-25,chicken entrée,-10,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B787-8,Mainline,78H,UA,4184,Long,39,C20,Domestic,member,PANASONIC,spoke departure
39589,349,OGX,ORX,HYXXM0,2022-09-25,vegetarian entrée,-10,Early & Ontime,Business,Domestic,2,90+,premier platinum,Boomer,B787-8,Mainline,78H,UA,4184,Long,39,C20,Domestic,member,PANASONIC,spoke departure
39592,116,SFX,PPX,C8XXW1,2022-09-25,chicken entrée,26,Delayed,United Premium Plus,Pacific,1,0 to 70,Non-Members,Boomer,B787-9,Mainline,78P,UA,4188,Long,G4,HOLD,International,non-member,PANASONIC,hub departure
39595,219,HNX,ORX,LEXXLX,2022-09-25,chicken entrée,-8,Early & Ontime,Economy Plus,Domestic,1,90+,non-elite,Millennial,B787-10,Mainline,78J,UA,4244,Long,G2,B16,Domestic,member,PANASONIC,spoke departure
39596,220,ORX,HNX,CBXXH9,2022-09-25,chicken entrée,-28,Early & Ontime,Economy,Domestic,1,90+,non-elite,Silent,B787-10,Mainline,78J,UA,4244,Long,B16,G2,Domestic,member,PANASONIC,hub departure
39597,219,HNX,ORX,HYXXW2,2022-09-25,chicken entrée,-8,Early & Ontime,Economy Plus,Domestic,1,90+,Non-Members,Boomer,B787-10,Mainline,78J,UA,4244,Long,G2,B16,Domestic,non-member,PANASONIC,spoke departure
39600,219,HNX,ORX,C6XXZL,2022-09-25,chicken entrée,-8,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B787-10,Mainline,78J,UA,4244,Long,G2,B16,Domestic,member,PANASONIC,spoke departure
39603,108,MUX,IAX,N4XX5Q,2022-09-25,beef entrée,-22,Early & Ontime,Business,Atlantic,1,90+,Non-Members,Gen X,B777-200,Mainline,77E,UA,4263,Long,H02,C12,International,non-member,PANASONIC,spoke departure
39606,108,MUX,IAX,PYXXJ9,2022-09-25,other (specify),-22,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B777-200,Mainline,77E,UA,4263,Long,H02,C12,International,member,PANASONIC,spoke departure
39607,108,MUX,IAX,F8XX4W,2022-09-25,other (specify),-22,Early & Ontime,Economy,Atlantic,1,90+,premier silver,Millennial,B777-200,Mainline,77E,UA,4263,Long,H02,C12,International,member,PANASONIC,spoke departure
39609,107,IAX,MUX,NGXXLM,2022-09-25,chicken entrée,11,Delayed,Economy,Atlantic,2,80+,non-elite,Gen X,B777-200,Mainline,77E,UA,4263,Long,C12,H02,International,member,PANASONIC,hub departure
39612,108,MUX,IAX,F5XX6Z,2022-09-25,other (specify),-22,Early & Ontime,Economy,Atlantic,2,90+,premier silver,Gen X,B777-200,Mainline,77E,UA,4263,Long,H02,C12,International,member,PANASONIC,spoke departure
39614,510,FCX,EWX,LMXX97,2022-09-25,other (specify),-32,Early & Ontime,Economy Plus,Atlantic,1,90+,premier silver,Gen X,B777-200,Mainline,77U,UA,4292,Long,E39,C135,International,member,PANASONIC,spoke departure
39615,42,FCX,EWX,A4XX2K,2022-09-25,chicken entrée,-26,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B777-300,Mainline,77X,UA,4292,Long,E42,B55,International,non-member,PANASONIC,spoke departure
39617,41,EWX,FCX,A1XX54,2022-09-25,seafood entrée,29,Delayed,Business,Atlantic,1,80+,non-elite,Boomer,B777-300,Mainline,77X,UA,4292,Long,C126,*709,International,member,PANASONIC,hub departure
39619,510,FCX,EWX,AJXX49,2022-09-25,chicken entrée,-32,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B777-200,Mainline,77U,UA,4292,Long,E39,C135,International,non-member,PANASONIC,spoke departure
39621,42,FCX,EWX,CGXX5F,2022-09-25,chicken entrée,-26,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,4292,Long,E42,B55,International,member,PANASONIC,spoke departure
39629,41,EWX,FCX,ELXXB3,2022-09-25,beef entrée,29,Delayed,Business,Atlantic,1,80+,non-elite,Boomer,B777-300,Mainline,77X,UA,4292,Long,C126,*709,International,member,PANASONIC,hub departure
39630,511,EWX,FCX,AJXXLB,2022-09-25,beef entrée,117,Delayed,Business,Atlantic,2,90+,premier silver,Boomer,B777-200,Mainline,77U,UA,4292,Long,C135,*710,International,member,PANASONIC,hub departure
39631,42,FCX,EWX,HYXXSV,2022-09-25,chicken entrée,-26,Early & Ontime,United Premium Plus,Atlantic,1,90+,premier 1k,Boomer,B777-300,Mainline,77X,UA,4292,Long,E42,B55,International,member,PANASONIC,spoke departure
39632,41,EWX,FCX,LHXX8R,2022-09-25,vegetarian entrée,29,Delayed,Economy,Atlantic,1,80+,Non-Members,Gen X,B777-300,Mainline,77X,UA,4292,Long,C126,*709,International,non-member,PANASONIC,hub departure
39633,42,FCX,EWX,LYXX09,2022-09-25,chicken entrée,-26,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B777-300,Mainline,77X,UA,4292,Long,E42,B55,International,non-member,PANASONIC,spoke departure
39636,510,FCX,EWX,HNXXQP,2022-09-25,seafood entrée,-32,Early & Ontime,Business,Atlantic,2,90+,premier gold,Boomer,B777-200,Mainline,77U,UA,4292,Long,E39,C135,International,member,PANASONIC,spoke departure
39637,946,FRX,ORX,E2XXDS,2022-09-25,chicken entrée,-23,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Gen X,B787-10,Mainline,78J,UA,4344,Long,Z20,M30,International,member,PANASONIC,spoke departure
39638,907,FRX,ORX,ADXXD7,2022-09-25,other (specify),-46,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B787-10,Mainline,78J,UA,4344,Long,Z21,M18,International,non-member,PANASONIC,spoke departure
39642,946,FRX,ORX,EDXXX6,2022-09-25,chicken entrée,-23,Early & Ontime,Economy Plus,Atlantic,1,90+,Non-Members,Boomer,B787-10,Mainline,78J,UA,4344,Long,Z20,M30,International,non-member,PANASONIC,spoke departure
39644,965,EWX,NAX,ODXX2Q,2022-09-25,chicken entrée,-26,Early & Ontime,Business,Atlantic,2,90+,premier 1k,Gen X,B767-300,Mainline,76A,UA,4416,Long,C121,52,International,member,PANASONIC,hub departure
39647,966,NAX,EWX,N4XXJZ,2022-09-25,other (specify),4,Delayed,Economy Plus,Atlantic,1,90+,premier gold,Boomer,B767-300,Mainline,76A,UA,4416,Long,B10,B62,International,member,PANASONIC,spoke departure
39649,965,EWX,NAX,CQXX3M,2022-09-25,chicken entrée,-26,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Millennial,B767-300,Mainline,76A,UA,4416,Long,C121,52,International,member,PANASONIC,hub departure
39652,13,ZRX,ORX,NSXXCN,2022-09-25,vegetarian entrée,-61,Early & Ontime,Economy Plus,Atlantic,2,90+,non-elite,Gen X,B767-300,Mainline,76L,UA,4443,Long,E42,M39,International,member,PANASONIC,spoke departure
39655,4,ORX,ZRX,NZXXBK,2022-09-25,beef entrée,-31,Early & Ontime,Business,Atlantic,2,80+,non-elite,Boomer,B767-300,Mainline,76L,UA,4443,Long,C21,E43,International,member,PANASONIC,hub departure
39659,885,IAX,FCX,N1XX95,2022-09-25,vegetarian entrée,0,Early & Ontime,Economy,Atlantic,1,80+,Non-Members,Millennial,B787-8,Mainline,78H,UA,4505,Long,D25,*707,International,non-member,PANASONIC,hub departure
39660,885,IAX,FCX,BEXX6C,2022-09-25,beef entrée,0,Early & Ontime,United Premium Plus,Atlantic,2,80+,non-elite,Boomer,B787-8,Mainline,78H,UA,4505,Long,D25,*707,International,member,PANASONIC,hub departure
39661,886,FCX,IAX,BHXXTV,2022-09-25,chicken entrée,-37,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Millennial,B787-8,Mainline,78H,UA,4505,Long,E41,C8,International,non-member,PANASONIC,spoke departure
39665,417,ORX,MXX,EVXXBM,2022-09-25,chicken entrée,20,Delayed,Economy,Atlantic,1,70+,non-elite,Gen Z,B787-8,Mainline,78H,UA,4523,Long,C18,404,International,member,PANASONIC,hub departure
39666,416,MXX,ORX,LKXXGW,2022-09-25,other (specify),-32,Early & Ontime,United Premium Plus,Atlantic,2,90+,premier silver,Boomer,B787-8,Mainline,78H,UA,4523,Long,B58,M34,International,member,PANASONIC,spoke departure
39667,416,MXX,ORX,B3XXRK,2022-09-25,other (specify),-32,Early & Ontime,Economy,Atlantic,2,90+,premier silver,Millennial,B787-8,Mainline,78H,UA,4523,Long,B58,M34,International,member,PANASONIC,spoke departure
39669,417,ORX,MXX,D2XX5W,2022-09-25,beef entrée,20,Delayed,United Premium Plus,Atlantic,1,70+,premier 1k,Gen X,B787-8,Mainline,78H,UA,4523,Long,C18,404,International,member,PANASONIC,hub departure
39672,387,DBX,EWX,NCXXVP,2022-09-25,sandwich/burger/wrap,-5,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Boomer,B767-300,Mainline,76A,UA,4526,Long,22,C136,International,member,PANASONIC,spoke departure
39674,953,MUX,ORX,DJXX29,2022-09-25,vegetarian entrée,10,Delayed,Economy,Atlantic,1,90+,Non-Members,Millennial,B787-10,Mainline,78J,UA,4530,Long,H18,M39,International,non-member,PANASONIC,spoke departure
39677,953,MUX,ORX,MEXXD1,2022-09-25,chicken entrée,10,Delayed,Business,Atlantic,1,90+,non-elite,Boomer,B787-10,Mainline,78J,UA,4530,Long,H18,M39,International,member,PANASONIC,spoke departure
39679,847,SCX,IAX,C7XXLN,2022-09-25,chicken entrée,-5,Early & Ontime,Economy,Latin,1,90+,Non-Members,Gen X,B767-300,Mainline,76A,UA,4645,Long,E05,E4,International,non-member,PANASONIC,spoke departure
39682,263,DEX,LHX,LLXX7T,2022-09-25,other (specify),-7,Early & Ontime,Economy Plus,Atlantic,2,0 to 70,non-elite,Millennial,B787-9,Mainline,78P,UA,4671,Long,B32,241,International,member,PANASONIC,hub departure
39683,27,LHX,DEX,M8XX47,2022-09-25,chicken entrée,57,Delayed,Economy Plus,Atlantic,1,80+,premier platinum,Millennial,B787-9,Mainline,78P,UA,4671,Long,232,A33,International,member,PANASONIC,spoke departure
39688,27,LHX,DEX,FTXXTH,2022-09-25,beef entrée,57,Delayed,Business,Atlantic,1,80+,premier 1k,Millennial,B787-9,Mainline,78P,UA,4671,Long,232,A33,International,member,PANASONIC,spoke departure
39689,264,LHX,DEX,C4XXMR,2022-09-25,vegetarian entrée,70,Delayed,Economy,Atlantic,1,80+,Non-Members,Silent,B787-9,Mainline,78Z,UA,4671,Long,249,A41,International,non-member,PANASONIC,spoke departure
39691,972,FCX,ORX,J0XXW2,2022-09-25,chicken entrée,-54,Early & Ontime,United Premium Plus,Atlantic,1,90+,non-elite,Gen X,B787-8,Mainline,78H,UA,4823,Long,E39,M34,International,member,PANASONIC,spoke departure
39695,5,LHX,IAX,AYXXTX,2022-09-25,chicken entrée,-38,Early & Ontime,Economy,Atlantic,1,90+,premier silver,Boomer,B787-9,Mainline,78P,UA,4834,Long,242,E5,International,member,PANASONIC,spoke departure
39697,880,LHX,IAX,B5XXZL,2022-09-25,other (specify),-44,Early & Ontime,Economy Plus,Atlantic,2,80+,non-elite,Millennial,B777-200,Mainline,77E,UA,4834,Long,248,E7,International,member,PANASONIC,spoke departure
39699,6,IAX,LHX,DKXX4P,2022-09-25,chicken entrée,-14,Early & Ontime,Economy Plus,Atlantic,2,0 to 70,non-elite,Millennial,B787-9,Mainline,78P,UA,4834,Long,C7,248,International,member,PANASONIC,hub departure
39700,880,LHX,IAX,A9XXPT,2022-09-25,vegetarian entrée,-44,Early & Ontime,United Premium Plus,Atlantic,1,80+,premier silver,Gen X,B777-200,Mainline,77E,UA,4834,Long,248,E7,International,member,PANASONIC,spoke departure
39703,63,IAX,GRX,PXXXZL,2022-09-25,chicken entrée,21,Delayed,Economy,Latin,2,80+,non-elite,Millennial,B787-9,Mainline,78P,UA,4901,Long,E5,605,International,member,PANASONIC,hub departure
39707,126,ATX,EWX,E0XXHE,2022-09-25,vegetarian entrée,-34,Early & Ontime,Business,Atlantic,2,90+,non-elite,Boomer,B777-200,Mainline,77N,UA,4948,Long,A18,B54,International,member,PANASONIC,spoke departure
39709,126,ATX,EWX,BKXXZ9,2022-09-25,chicken entrée,-34,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B777-200,Mainline,77N,UA,4948,Long,A18,B54,International,member,PANASONIC,spoke departure
39713,22,AMX,IAX,NRXX9K,2022-09-25,chicken entrée,-20,Early & Ontime,Economy Plus,Atlantic,1,90+,premier gold,Gen X,B777-200,Mainline,77E,UA,5013,Long,D10,E5,International,member,PANASONIC,spoke departure
39718,819,EZX,IAX,AXXX7D,2022-09-25,beef entrée,-8,Early & Ontime,Economy,Latin,2,90+,non-elite,Gen X,B777-200,Mainline,77E,UA,5062,Long,14,E18,International,member,PANASONIC,spoke departure
39720,819,EZX,IAX,MTXX9M,2022-09-25,beef entrée,-8,Early & Ontime,United Premium Plus,Latin,1,90+,non-elite,Gen X,B777-200,Mainline,77E,UA,5062,Long,14,E18,International,member,PANASONIC,spoke departure
39721,877,HNX,SFX,B0XXQK,2022-09-25,chicken entrée,-4,Early & Ontime,Economy,Pacific,1,0 to 70,Non-Members,Silent,B777-200,Mainline,77E,UA,5161,Long,110,G10,International,non-member,PANASONIC,spoke departure
39723,876,SFX,HNX,OCXX73,2022-09-25,beef entrée,-29,Early & Ontime,United Premium Plus,Pacific,1,70+,non-elite,Gen X,B777-200,Mainline,77E,UA,5161,Long,G6,110,International,member,PANASONIC,hub departure
39727,984,ATX,IAX,C9XXJH,2022-09-25,chicken entrée,-33,Early & Ontime,Business,Atlantic,1,90+,premier silver,Boomer,B787-8,Mainline,78H,UA,5168,Long,A03,C3,International,member,PANASONIC,spoke departure
39728,983,IAX,ATX,AQXXL9,2022-09-25,beef entrée,16,Delayed,United Premium Plus,Atlantic,1,90+,non-elite,Silent,B787-8,Mainline,78H,UA,5168,Long,C8,A03,International,member,PANASONIC,hub departure
39729,983,IAX,ATX,EXXXQ4,2022-09-25,chicken entrée,16,Delayed,United Premium Plus,Atlantic,1,90+,Non-Members,Boomer,B787-8,Mainline,78H,UA,5168,Long,C8,A03,International,non-member,PANASONIC,hub departure
39733,846,ORX,GRX,FMXX7K,2022-09-25,chicken entrée,7,Delayed,Economy,Latin,2,70+,Non-Members,Gen X,B787-9,Mainline,78P,UA,5222,Long,C20,605,International,non-member,PANASONIC,hub departure
39735,845,GRX,ORX,G7XX5R,2022-09-25,beef entrée,-5,Early & Ontime,United Premium Plus,Latin,1,90+,premier platinum,Gen X,B787-9,Mainline,78P,UA,5222,Long,329,M25,International,member,PANASONIC,spoke departure
39736,845,GRX,ORX,G7XXRX,2022-09-25,chicken entrée,-5,Early & Ontime,United Premium Plus,Latin,1,90+,premier silver,Gen X,B787-9,Mainline,78P,UA,5222,Long,329,M25,International,member,PANASONIC,spoke departure
39737,846,ORX,GRX,BTXX4B,2022-09-25,vegetarian entrée,7,Delayed,Economy,Latin,2,70+,non-elite,Gen Z,B787-9,Mainline,78P,UA,5222,Long,C20,605,International,member,PANASONIC,hub departure
39740,762,MUX,DEX,G0XX6B,2022-09-25,beef entrée,54,Delayed,Business,Atlantic,1,90+,global services,Boomer,B787-9,Mainline,78P,UA,5225,Long,H02,A33,International,member,PANASONIC,spoke departure
39747,931,SFX,LHX,B5XX2Q,2022-09-25,chicken entrée,-18,Early & Ontime,Economy Plus,Atlantic,2,70+,premier gold,Boomer,B787-9,Mainline,78P,UA,5368,Long,G2,232,International,member,PANASONIC,hub departure
39748,950,LHX,SFX,DEXX2G,2022-09-25,vegetarian entrée,-19,Early & Ontime,Economy Plus,Atlantic,1,80+,premier gold,Boomer,B777-200,Mainline,77E,UA,5368,Long,247,G3,International,member,PANASONIC,spoke departure
39753,940,LHX,SFX,PCXXJ7,2022-09-25,vegetarian entrée,35,Delayed,United Premium Plus,Atlantic,1,90+,premier 1k,Gen X,B787-9,Mainline,78P,UA,5368,Long,243,G10,International,member,PANASONIC,spoke departure
39754,950,LHX,SFX,M4XXY8,2022-09-25,seafood entrée,-19,Early & Ontime,Business,Atlantic,1,80+,premier 1k,Gen X,B777-200,Mainline,77E,UA,5368,Long,247,G3,International,member,PANASONIC,spoke departure
39755,902,SFX,LHX,BXXXH6,2022-09-25,vegetarian entrée,104,Delayed,Business,Atlantic,1,0 to 70,premier 1k,Millennial,B777-200,Mainline,77U,UA,5368,Long,G9,231,International,member,PANASONIC,hub departure
39758,940,LHX,SFX,HTXX4J,2022-09-25,chicken entrée,35,Delayed,Economy,Atlantic,2,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,5368,Long,243,G10,International,member,PANASONIC,spoke departure
39763,161,MUX,IAX,ANXXWF,2022-09-25,beef entrée,-19,Early & Ontime,Economy Plus,Atlantic,1,90+,premier silver,Millennial,B767-300,Mainline,76A,UA,5417,Long,H14,E18,International,member,PANASONIC,spoke departure
39764,161,MUX,IAX,OLXX71,2022-09-25,chicken entrée,-19,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Millennial,B767-300,Mainline,76A,UA,5417,Long,H14,E18,International,member,PANASONIC,spoke departure
39765,161,MUX,IAX,FFXX6F,2022-09-25,seafood entrée,-19,Early & Ontime,Business,Atlantic,1,90+,Non-Members,Gen X,B767-300,Mainline,76A,UA,5417,Long,H14,E18,International,non-member,PANASONIC,spoke departure
39772,614,LOX,IAX,GKXXLS,2022-09-25,other (specify),-13,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B787-8,Mainline,78H,UA,5442,Long,D34,C1,International,member,PANASONIC,spoke departure
39777,936,LHX,LAX,IPXXXJ,2022-09-25,vegetarian entrée,-20,Early & Ontime,Economy,Atlantic,1,90+,Non-Members,Boomer,B787-9,Mainline,78P,UA,5456,Long,242,74,International,non-member,PANASONIC,spoke departure
39778,936,LHX,LAX,DKXXSV,2022-09-25,chicken entrée,-20,Early & Ontime,Business,Atlantic,1,90+,premier gold,Gen X,B787-9,Mainline,78P,UA,5456,Long,242,74,International,member,PANASONIC,spoke departure
39779,936,LHX,LAX,BVXXP2,2022-09-25,chicken entrée,-20,Early & Ontime,Economy Plus,Atlantic,1,90+,premier silver,Gen X,B787-9,Mainline,78P,UA,5456,Long,242,74,International,member,PANASONIC,spoke departure
39781,969,SFX,AMX,DDXXV9,2022-09-25,vegetarian entrée,-6,Early & Ontime,Economy,Atlantic,1,0 to 70,non-elite,Boomer,B787-10,Mainline,78J,UA,5473,Long,G7,G6,International,member,PANASONIC,hub departure
39784,985,CDX,SFX,G6XXGR,2022-09-25,other (specify),-25,Early & Ontime,Economy Plus,Atlantic,1,90+,premier silver,Boomer,B777-200,Mainline,77U,UA,5583,Long,A4,G9,International,member,PANASONIC,spoke departure
39790,86,TLX,EWX,A2XXTC,2022-09-25,seafood entrée,5,Delayed,Business,Atlantic,1,80+,non-elite,Boomer,B787-10,Mainline,78J,UA,5692,Long,B8,B54,International,member,PANASONIC,spoke departure
